Date,close,atr,atr_sma,adx,plus_di,minus_di,direction,volatility,regime,action,activation
2020-06-03,1.2581465244293213,0.013798950423511036,0.018364426676830005,16.52392351277627,25.289584588524487,12.464597422767953,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-04,1.2575136423110962,0.01367556892876527,0.018095591536391672,17.071120468224827,23.695051869598597,14.465938197714545,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-05,1.2609069347381592,0.013803284763992625,0.017792511931911514,18.31990682503019,27.361484668407385,13.308370322300492,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-08,1.2725722789764404,0.013600864452699138,0.017488658965635884,19.479494156349457,25.785224140099317,12.541691938821906,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-09,1.2735283374786377,0.01354393928913354,0.017195933875094688,20.793161734922826,25.951944394279053,11.694804325059021,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-10,1.2711325883865356,0.013239931780444034,0.016922613128059028,22.297393858922458,27.10020286347126,11.108809704534742,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-11,1.2710679769515991,0.01318992690944273,0.016670932107910368,22.565258019555632,25.25987615373736,14.820058371476204,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-12,1.257703423500061,0.01358604127250029,0.016437321627330432,21.653766589047663,22.771728275302095,18.70517581839275,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-15,1.2508755922317505,0.013488545320619341,0.016211840937144097,20.14946481161346,21.298014759548263,21.04668132842386,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-16,1.2637752294540405,0.013799212229284472,0.016004776116275002,19.659161711958962,24.95685764185917,19.103360151447994,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-17,1.258510708808899,0.013695822164872341,0.015804784370946158,18.758342262047123,23.34916768983513,20.27469344687698,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-18,1.2552721500396729,0.014006610290703865,0.015625354289677488,17.860559818156794,21.200289121803728,23.997772548568733,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-19,1.2426837682724,0.014447982999148113,0.015474002156631417,17.437885888979086,19.084593930413302,24.261468234892433,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-22,1.234811782836914,0.014256733272899324,0.01533905878816981,17.148455849242346,17.95913593881187,23.510160054939583,Sideways,Quiet,Sideways Quiet,proceed,active
