time,open,high,low,close,volume
2025-01-17 00:00:00+00:00,2714.44,2717.38,2698.47,2702.92,80490
2025-01-20 00:00:00+00:00,2703.09,2713.76,2689.26,2706.7,69969
2025-01-21 00:00:00+00:00,2708.28,2746.02,2702.81,2744.69,92790
2025-01-22 00:00:00+00:00,2745.17,2763.45,2741.1,2756.18,84738
2025-01-23 00:00:00+00:00,2756.17,2758.92,2735.58,2754.52,85621
2025-01-24 00:00:00+00:00,2754.64,2785.94,2753.49,2771.48,87370
2025-01-27 00:00:00+00:00,2769.76,2772.53,2730.48,2740.7,99704
2025-01-28 00:00:00+00:00,2739.91,2765.11,2734.81,2763.17,83114
2025-01-29 00:00:00+00:00,2763.23,2766.2,2744.76,2759.68,83303
2025-01-30 00:00:00+00:00,2759.61,2798.49,2758.23,2794.06,83835
2025-01-31 00:00:00+00:00,2795.08,2817.23,2791.02,2798.47,91210
2025-02-03 00:00:00+00:00,2804.21,2830.4,2772.17,2814.75,107358
2025-02-04 00:00:00+00:00,2814.62,2845.49,2807.19,2842.01,96838
2025-02-05 00:00:00+00:00,2842.67,2882.49,2839.67,2867.02,90945
2025-02-06 00:00:00+00:00,2864.94,2873.28,2834.1,2855.55,91182
2025-02-07 00:00:00+00:00,2855.66,2886.68,2852.39,2861.3,85320
2025-02-10 00:00:00+00:00,2857.21,2911.77,2854.81,2907.88,92001
2025-02-11 00:00:00+00:00,2907.9,2942.58,2881.81,2897.53,103139
2025-02-12 00:00:00+00:00,2898.02,2909.15,2863.54,2903.97,92459
2025-02-13 00:00:00+00:00,2904.36,2929.5,2900.56,2928.34,86887
2025-02-14 00:00:00+00:00,2927.64,2940.06,2877.03,2882.5,96772
2025-02-17 00:00:00+00:00,2883.13,2906.4,2877.6,2899.45,69702
2025-02-18 00:00:00+00:00,2898.61,2937.05,2891.98,2935.08,72253
2025-02-19 00:00:00+00:00,2935.73,2947.05,2918.61,2932.99,84281
2025-02-20 00:00:00+00:00,2933.46,2954.91,2924.26,2939.06,83516
2025-02-21 00:00:00+00:00,2938.84,2949.59,2916.74,2935.89,84923
2025-02-24 00:00:00+00:00,2934.65,2956.18,2921.33,2952.62,85776
2025-02-25 00:00:00+00:00,2952.64,2953.79,2888.27,2914.82,94373
2025-02-26 00:00:00+00:00,2915.14,2930.08,2890.77,2916.11,81185
2025-02-27 00:00:00+00:00,2916.79,2920.76,2867.79,2877.12,93444
2025-02-28 00:00:00+00:00,2877.11,2885.05,2832.57,2859.06,100955
2025-03-03 00:00:00+00:00,2857.88,2895.29,2857.88,2892.99,94797
2025-03-04 00:00:00+00:00,2892.44,2927.76,2881.99,2917.7,90567
2025-03-05 00:00:00+00:00,2918.13,2930.06,2894.3,2919.13,95328
2025-03-06 00:00:00+00:00,2919.67,2926.52,2891.12,2910.74,89678
2025-03-07 00:00:00+00:00,2911.04,2930.33,2894.8,2911.94,98005
2025-03-10 00:00:00+00:00,2912.72,2918.22,2880.28,2889.24,82830
2025-03-11 00:00:00+00:00,2888.27,2922.03,2880.26,2915.5,69043
2025-03-12 00:00:00+00:00,2915.81,2940.63,2905.97,2933.31,75738
2025-03-13 00:00:00+00:00,2934.46,2989.1,2932.99,2988.8,73352
2025-03-14 00:00:00+00:00,2989.38,3004.85,2978.45,2986.24,79493
2025-03-17 00:00:00+00:00,2983.84,3001.99,2982.22,3001.02,63203
2025-03-18 00:00:00+00:00,3000.79,3038.26,2999.56,3033.76,76386
2025-03-19 00:00:00+00:00,3033.98,3051.84,3022.89,3047.16,68372
2025-03-20 00:00:00+00:00,3048.35,3057.26,3025.52,3044.47,77931
2025-03-21 00:00:00+00:00,3044.36,3047.39,2999.55,3022.94,69395
2025-03-24 00:00:00+00:00,3023.36,3033.22,3002.46,3011.96,74983
2025-03-25 00:00:00+00:00,3011.96,3035.95,3007.64,3019.81,71743
2025-03-26 00:00:00+00:00,3019.69,3032.04,3012.45,3018.85,75702
2025-03-27 00:00:00+00:00,3019.04,3059.56,3017.6,3056.42,84353
2025-03-28 00:00:00+00:00,3056.31,3086.77,3053.75,3084.2,75990
2025-03-31 00:00:00+00:00,3086.59,3127.94,3076.72,3123.96,81475
2025-04-01 00:00:00+00:00,3123.22,3149.04,3100.87,3114.12,78809
2025-04-02 00:00:00+00:00,3114.22,3142.05,3104.45,3132.12,83654
2025-04-03 00:00:00+00:00,3140.28,3167.73,3054.08,3114.19,99601
2025-04-04 00:00:00+00:00,3115.38,3136.58,3015.78,3037.34,97301
2025-04-07 00:00:00+00:00,3008.13,3055.31,2956.26,2982.01,125111
2025-04-08 00:00:00+00:00,2982.99,3022.73,2974.73,2981.96,94684
2025-04-09 00:00:00+00:00,2982.88,3099.6,2970.07,3082.78,94465
2025-04-10 00:00:00+00:00,3079.66,3176.45,3071.36,3175.39,90706
2025-04-11 00:00:00+00:00,3176.0,3245.36,3176.0,3237.53,112866
2025-04-14 00:00:00+00:00,3228.31,3245.69,3193.57,3210.46,101469
2025-04-15 00:00:00+00:00,3211.57,3233.57,3210.01,3229.36,75621
2025-04-16 00:00:00+00:00,3230.96,3342.94,3229.84,3342.85,102898
2025-04-17 00:00:00+00:00,3343.19,3357.65,3283.84,3327.24,96853
2025-04-21 00:00:00+00:00,3332.92,3430.5,3329.03,3424.4,97594
2025-04-22 00:00:00+00:00,3425.06,3499.98,3366.78,3380.93,99124
2025-04-23 00:00:00+00:00,3347.99,3386.58,3259.98,3288.12,100890
