time,open,high,low,close,volume
2026-04-01 17:30:00+00:00,4742.14,4756.6,4734.88,4754.13,7535
2026-04-01 17:45:00+00:00,4754.05,4768.82,4752.59,4760.76,7402
2026-04-01 18:00:00+00:00,4760.76,4774.96,4758.34,4764.77,6875
2026-04-01 18:15:00+00:00,4764.77,4776.43,4762.39,4772.94,7058
2026-04-01 18:30:00+00:00,4772.94,4786.75,4769.9,4785.6,7312
2026-04-01 18:45:00+00:00,4785.6,4788.25,4782.49,4786.57,5475
2026-04-01 19:00:00+00:00,4786.57,4790.69,4774.41,4775.03,5629
2026-04-01 19:15:00+00:00,4775.03,4783.53,4774.69,4776.71,5061
2026-04-01 19:30:00+00:00,4776.71,4784.9,4775.34,4784.34,4538
2026-04-01 19:45:00+00:00,4784.34,4788.6,4781.87,4787.31,3749
2026-04-01 20:00:00+00:00,4787.31,4793.08,4786.38,4788.53,4410
2026-04-01 20:15:00+00:00,4788.53,4789.61,4782.39,4784.97,4745
2026-04-01 20:30:00+00:00,4785.09,4786.05,4775.7,4781.94,4535
2026-04-01 20:45:00+00:00,4781.94,4783.35,4773.63,4774.3,4094
2026-04-01 21:00:00+00:00,4774.3,4775.25,4759.75,4771.09,6699
2026-04-01 21:15:00+00:00,4771.09,4771.72,4753.19,4754.0,6756
2026-04-01 21:30:00+00:00,4754.0,4766.16,4742.14,4756.56,7151
2026-04-01 21:45:00+00:00,4756.57,4758.44,4751.63,4753.08,5946
2026-04-01 22:00:00+00:00,4753.08,4765.15,4751.17,4759.72,6045
2026-04-01 22:15:00+00:00,4759.72,4769.08,4758.61,4765.65,4610
2026-04-01 22:30:00+00:00,4765.65,4778.27,4763.2,4769.4,4682
2026-04-01 22:45:00+00:00,4769.3,4772.09,4758.24,4766.16,5765
2026-04-02 01:00:00+00:00,4757.32,4763.8,4748.72,4759.56,1263
2026-04-02 01:15:00+00:00,4759.23,4774.68,4756.43,4772.78,2226
2026-04-02 01:30:00+00:00,4772.78,4781.37,4771.14,4776.24,2415
